Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,13,4,-47999.24675,68398.08744
0.5,5.902390000000001e-14,25.0,13,4,-47999.24675,68398.08744
1.0,5.169670000000001e-14,25.0,13,4,-47999.24675,68398.08744
1.5,1.086853e-13,25.0,13,4,-47999.24675,68398.08744
2.0,8.95534e-14,25.0,13,4,-47999.24675,68398.08744
2.5,1.272065e-13,25.0,13,4,-47999.24675,68398.08744
3.0,1.094994e-13,25.0,13,4,-47999.24675,68398.08744
3.5,9.443810000000001e-14,25.0,13,4,-47999.24675,68398.08744
4.0,1.272066e-13,25.0,13,4,-47999.24675,68398.08744
4.5,1.239501e-13,25.0,13,4,-47999.24675,68398.08744
5.0,1.094994e-13,25.0,13,4,-47999.24675,68398.08744
5.5,1.304631e-13,25.0,13,4,-47999.24675,68398.08744
6.0,1.290383e-13,25.0,13,4,-47999.24675,68398.08744
6.5,1.455243e-13,25.0,13,4,-47999.24675,68398.08744
7.0,1.567185e-13,25.0,13,4,-47999.24675,68398.08744
7.5,1.9152219999999998e-13,25.0,13,4,-47999.24675,68398.08744
8.0,1.4898420000000001e-13,25.0,13,4,-47999.24675,68398.08744
8.5,1.550901e-13,25.0,13,4,-47999.24675,68398.08744
9.0,1.921327e-13,25.0,13,4,-47999.24675,68398.08744
9.5,2.080082e-13,25.0,13,4,-47999.24675,68398.08744
10.0,1.8602679999999999e-13,25.0,13,4,-47999.24675,68398.08744
10.5,1.91115e-13,25.0,13,4,-47999.24675,68398.08744
11.0,2.0719399999999999e-13,25.0,13,4,-47999.24675,68398.08744
11.5,1.898939e-13,25.0,13,4,-47999.24675,68398.08744
12.0,1.986457e-13,25.0,13,4,-47999.24675,68398.08744
12.5,2.4566130000000003e-13,25.0,13,4,-47999.24675,68398.08744
13.0,2.145211e-13,25.0,13,4,-47999.24675,68398.08744
13.5,2.790402e-13,25.0,13,4,-47999.24675,68398.08744
14.0,2.54413e-13,25.0,13,4,-47999.24675,68398.08744
14.5,2.381306e-13,25.0,13,4,-47999.24675,68398.08744
15.0,2.161493e-13,25.0,13,4,-47999.24675,68398.08744
15.5,3.254452e-13,25.0,13,4,-47999.24675,68398.08744
16.0,2.875886e-13,25.0,13,4,-47999.24675,68398.08744
16.5,2.831108e-13,25.0,13,4,-47999.24675,68398.08744
17.0,3.14658e-13,25.0,13,4,-47999.24675,68398.08744
17.5,3.366394e-13,25.0,13,4,-47999.24675,68398.08744
18.0,3.718501e-13,25.0,13,4,-47999.24675,68398.08744
18.5,3.3379e-13,25.0,13,4,-47999.24675,68398.08744
19.0,3.608595e-13,25.0,13,4,-47999.24675,68398.08744
19.5,3.84876e-13,25.0,13,4,-47999.24675,68398.08744
20.0,4.1377730000000004e-13,25.0,13,4,-47999.24675,68398.08744
20.5,4.605894e-13,25.0,13,4,-47999.24675,68398.08744
21.0,4.410505e-13,25.0,13,4,-47999.24675,68398.08744
21.5,4.459351e-13,25.0,13,4,-47999.24675,68398.08744
22.0,4.85013e-13,25.0,13,4,-47999.24675,68398.08744
22.5,5.049591e-13,25.0,13,4,-47999.24675,68398.08744
23.0,5.44444e-13,25.0,13,4,-47999.24675,68398.08744
23.5,5.733451e-13,25.0,13,4,-47999.24675,68398.08744
24.0,6.539434e-13,25.0,13,4,-47999.24675,68398.08744
24.5,6.688011e-13,25.0,13,4,-47999.24675,68398.08744
25.0,6.863046e-13,25.0,13,4,-47999.24675,68398.08744
25.5,6.958705e-13,25.0,13,4,-47999.24675,68398.08744
26.0,7.200909e-13,25.0,13,4,-47999.24675,68398.08744
26.5,7.636463e-13,25.0,13,4,-47999.24675,68398.08744
27.0,8.352893e-13,25.0,13,4,-47999.24675,68398.08744
27.5,8.310147e-13,25.0,13,4,-47999.24675,68398.08744
28.0,9.120201e-13,25.0,13,4,-47999.24675,68398.08744
28.5,9.502833000000002e-13,25.0,13,4,-47999.24675,68398.08744
29.0,1.0198913e-12,25.0,13,4,-47999.24675,68398.08744
29.5,1.0593763000000002e-12,25.0,13,4,-47999.24675,68398.08744
30.0,1.1159573e-12,25.0,13,4,-47999.24675,68398.08744
30.5,1.1672473e-12,25.0,13,4,-47999.24675,68398.08744
31.0,1.2596503e-12,25.0,13,4,-47999.24675,68398.08744
31.5,1.3247793e-12,25.0,13,4,-47999.24675,68398.08744
32.0,1.4287833000000002e-12,25.0,13,4,-47999.24675,68398.08744
32.5,1.5160983000000002e-12,25.0,13,4,-47999.24675,68398.08744
33.0,1.6917442999999999e-12,25.0,13,4,-47999.24675,68398.08744
33.5,1.7876082999999997e-12,25.0,13,4,-47999.24675,68398.08744
34.0,1.8751253e-12,25.0,13,4,-47999.24675,68398.08744
34.5,2.0289943e-12,25.0,13,4,-47999.24675,68398.08744
35.0,2.2121723e-12,25.0,13,4,-47999.24675,68398.08744
35.5,2.3574943e-12,25.0,13,4,-47999.24675,68398.08744
36.0,2.5156363e-12,25.0,13,4,-47999.24675,68398.08744
36.5,2.8245953e-12,25.0,13,4,-47999.24675,68398.08744
37.0,3.0684252999999998e-12,25.0,13,4,-47999.24675,68398.08744
37.5,3.3859332999999998e-12,25.0,13,4,-47999.24675,68398.08744
38.0,3.7750833e-12,25.0,13,4,-47999.24675,68398.08744
38.5,4.1483573e-12,25.0,13,4,-47999.24675,68398.08744
39.0,4.7184473e-12,25.0,13,4,-47999.24675,68398.08744
39.5,5.3909113e-12,25.0,13,4,-47999.24675,68398.08744
40.0,6.1281003e-12,25.0,13,4,-47999.24675,68398.08744
40.5,7.0747183e-12,25.0,13,4,-47999.24675,68398.08744
41.0,8.4992253e-12,25.0,13,4,-47999.24675,68398.08744
41.5,1.03662073e-11,25.0,13,4,-47999.24675,68398.08744
42.0,1.32160473e-11,25.0,13,4,-47999.24675,68398.08744
42.5,1.77848973e-11,25.0,13,4,-47999.24675,68398.08744
43.0,2.72344073e-11,25.0,13,4,-47999.24675,68398.08744
