Voltage (V),Current (A),Temperature(C),Die Position,Subdie Position,X Position,Y Position
0.0,1e-15,25.0,34,3,-3600.0,176392.84407
0.5,3.378607e-14,25.0,34,3,-3600.0,176392.84407
1.0,1.770714999999999e-14,25.0,34,3,-3600.0,176392.84407
1.5,4.681180000000001e-15,25.0,34,3,-3600.0,176392.84407
2.0,1.424699999999995e-15,25.0,34,3,-3600.0,176392.84407
2.5,8.548279999999993e-15,25.0,34,3,-3600.0,176392.84407
3.0,2.422009999999999e-14,25.0,34,3,-3600.0,176392.84407
3.5,6.146620999999999e-14,25.0,34,3,-3600.0,176392.84407
4.0,4.192721e-14,25.0,34,3,-3600.0,176392.84407
4.5,3.867079e-14,25.0,34,3,-3600.0,176392.84407
5.0,6.146620999999999e-14,25.0,34,3,-3600.0,176392.84407
5.5,5.5767310000000003e-14,25.0,34,3,-3600.0,176392.84407
6.0,8.548281e-14,25.0,34,3,-3600.0,176392.84407
6.5,8.344741e-14,25.0,34,3,-3600.0,176392.84407
7.0,3.765315e-14,25.0,34,3,-3600.0,176392.84407
7.5,4.660841e-14,25.0,34,3,-3600.0,176392.84407
8.0,6.350150999999999e-14,25.0,34,3,-3600.0,176392.84407
8.5,3.5414299999999993e-14,25.0,34,3,-3600.0,176392.84407
9.0,7.306741e-14,25.0,34,3,-3600.0,176392.84407
9.5,6.512981e-14,25.0,34,3,-3600.0,176392.84407
10.0,1.1580881e-13,25.0,34,3,-3600.0,176392.84407
10.5,9.504870999999999e-14,25.0,34,3,-3600.0,176392.84407
11.0,7.754511e-14,25.0,34,3,-3600.0,176392.84407
11.5,8.629691e-14,25.0,34,3,-3600.0,176392.84407
12.0,1.0441111000000001e-13,25.0,34,3,-3600.0,176392.84407
12.5,9.708400999999999e-14,25.0,34,3,-3600.0,176392.84407
13.0,1.3310901e-13,25.0,34,3,-3600.0,176392.84407
13.5,1.1601240999999999e-13,25.0,34,3,-3600.0,176392.84407
14.0,1.1194171e-13,25.0,34,3,-3600.0,176392.84407
14.5,1.4857731e-13,25.0,34,3,-3600.0,176392.84407
15.0,1.7422211000000003e-13,25.0,34,3,-3600.0,176392.84407
15.5,1.5549720999999998e-13,25.0,34,3,-3600.0,176392.84407
16.0,1.6872680999999999e-13,25.0,34,3,-3600.0,176392.84407
16.5,2.2937871e-13,25.0,34,3,-3600.0,176392.84407
17.0,1.8948681e-13,25.0,34,3,-3600.0,176392.84407
17.5,2.5502361e-13,25.0,34,3,-3600.0,176392.84407
18.0,1.6811621e-13,25.0,34,3,-3600.0,176392.84407
18.5,2.2510471e-13,25.0,34,3,-3600.0,176392.84407
19.0,2.1777761000000002e-13,25.0,34,3,-3600.0,176392.84407
19.5,2.1920231000000002e-13,25.0,34,3,-3600.0,176392.84407
20.0,2.6092601000000003e-13,25.0,34,3,-3600.0,176392.84407
20.5,2.3690941e-13,25.0,34,3,-3600.0,176392.84407
21.0,2.9084501e-13,25.0,34,3,-3600.0,176392.84407
21.5,2.9634041e-13,25.0,34,3,-3600.0,176392.84407
22.0,3.1404751e-13,25.0,34,3,-3600.0,176392.84407
22.5,2.5543071e-13,25.0,34,3,-3600.0,176392.84407
23.0,2.8799571e-13,25.0,34,3,-3600.0,176392.84407
23.5,3.4193111e-13,25.0,34,3,-3600.0,176392.84407
24.0,3.8182321e-13,25.0,34,3,-3600.0,176392.84407
24.5,4.1133521e-13,25.0,34,3,-3600.0,176392.84407
25.0,4.1947620999999996e-13,25.0,34,3,-3600.0,176392.84407
25.5,4.3229871000000003e-13,25.0,34,3,-3600.0,176392.84407
26.0,3.9708790999999996e-13,25.0,34,3,-3600.0,176392.84407
26.5,4.2863521e-13,25.0,34,3,-3600.0,176392.84407
27.0,5.1248961e-13,25.0,34,3,-3600.0,176392.84407
27.5,5.0312731e-13,25.0,34,3,-3600.0,176392.84407
28.0,5.2368401e-13,25.0,34,3,-3600.0,176392.84407
28.5,5.9369861e-13,25.0,34,3,-3600.0,176392.84407
29.0,6.3664351e-13,25.0,34,3,-3600.0,176392.84407
29.5,6.4804111e-13,25.0,34,3,-3600.0,176392.84407
30.0,6.6656231e-13,25.0,34,3,-3600.0,176392.84407
30.5,7.4146171e-13,25.0,34,3,-3600.0,176392.84407
31.0,7.1724111e-13,25.0,34,3,-3600.0,176392.84407
31.5,8.2246661e-13,25.0,34,3,-3600.0,176392.84407
